Date ,Price ,Open ,High ,Low ,Volume ,Chg% 
28-Nov-17,488.49,493.3,496.03,486.8,4.62M,-1.41%
29-Nov-17,487.5,489.95,492.08,486.31,3.84M,-0.20%
30-Nov-17,484.22,490.84,490.84,480.38,17.27M,-0.67%
01-Dec-17,475.64,485.86,487.74,474.77,4.09M,-1.77%
04-Dec-17,488.81,486.16,494.49,480.48,17.81M,2.77%
05-Dec-17,488.31,488.81,497.57,485.66,9.98M,-0.10%
06-Dec-17,491.27,488.64,493.15,488.14,7.49M,0.61%
07-Dec-17,495.98,490.62,497.52,488.93,7.55M,0.96%
08-Dec-17,497,496.57,499.55,493.6,5.98M,0.21%
11-Dec-17,498.71,493.57,499.5,493.08,5.14M,0.34%
12-Dec-17,501.29,497.07,503.02,497.07,9.32M,0.52%
13-Dec-17,497.94,501.49,505.5,494.91,5.36M,-0.67%
14-Dec-17,502.58,498.68,503.52,495.73,6.02M,0.93%
15-Dec-17,507.44,502.53,509.17,501.96,10.38M,0.97%
18-Dec-17,504.31,501.98,511.31,498.96,4.04M,-0.62%
19-Dec-17,498.04,504.73,504.98,495.85,7.12M,-1.24%
20-Dec-17,503.94,498.61,505.31,496.57,4.19M,1.18%
21-Dec-17,507.02,503.42,510.44,495.28,11.06M,0.61%
22-Dec-17,515.6,504.02,518.3,504.02,12.91M,1.69%
26-Dec-17,513.74,510.96,516.67,507.49,10.81M,-0.36%
27-Dec-17,513.07,509.97,515.47,509.67,6.97M,-0.13%
28-Dec-17,512.57,510.96,515.92,507.88,8.43M,-0.10%
29-Dec-17,516.94,511.01,520.29,510.96,6.60M,0.85%
01-Jan-18,512.72,514.78,518.15,510.96,5.43M,-0.82%
02-Jan-18,510.81,514.56,516.91,507.49,6.11M,-0.37%
03-Jan-18,506.64,510.22,511.75,505.31,6.85M,-0.82%
04-Jan-18,503.72,506.5,506.5,500.84,8.95M,-0.58%
05-Jan-18,502.03,503.67,509.17,499.05,11.03M,-0.34%
08-Jan-18,513.96,508.43,515.43,506.02,5.59M,2.38%
